,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/embedding_type,config/hidden_size,config/num_layers,config/learning_rate,config/batch_size,logdir
489,0.2982308702035384,1706185355,,False,5,d3b6f_00489,2024-01-25_12-22-35,0.19539999961853027,2.4749906063079834,69013,2a36f66286f0,172.28.0.12,2.4749906063079834,5,bert,200,3,0.0001,32,d3b6f_00489
490,0.35009765625,1706185362,,False,5,d3b6f_00490,2024-01-25_12-22-42,0.13408827781677246,2.169410228729248,69091,2a36f66286f0,172.28.0.12,2.169410228729248,5,bert,200,3,0.0001,64,d3b6f_00490
491,0.45341944694519043,1706185368,,False,5,d3b6f_00491,2024-01-25_12-22-48,0.10328960418701172,2.0124242305755615,69174,2a36f66286f0,172.28.0.12,2.0124242305755615,5,bert,200,3,0.0001,128,d3b6f_00491
492,0.4389869679104198,1706185375,,False,5,d3b6f_00492,2024-01-25_12-22-55,0.1983954906463623,2.5024027824401855,69251,2a36f66286f0,172.28.0.12,2.5024027824401855,5,tfidf,200,3,0.0001,32,d3b6f_00492
493,0.5936139523983002,1706185382,,False,5,d3b6f_00493,2024-01-25_12-23-02,0.15290164947509766,2.3052446842193604,69329,2a36f66286f0,172.28.0.12,2.3052446842193604,5,tfidf,200,3,0.0001,64,d3b6f_00493
494,0.5907509525616964,1706185389,,False,5,d3b6f_00494,2024-01-25_12-23-09,0.12620019912719727,2.17753529548645,69410,2a36f66286f0,172.28.0.12,2.17753529548645,5,tfidf,200,3,0.0001,128,d3b6f_00494
495,0.3922373489900069,1706185396,,False,5,d3b6f_00495,2024-01-25_12-23-16,0.17325878143310547,2.3806722164154053,69491,2a36f66286f0,172.28.0.12,2.3806722164154053,5,glove,200,3,0.0001,32,d3b6f_00495
496,0.4927454888820648,1706185403,,False,5,d3b6f_00496,2024-01-25_12-23-23,0.1316056251525879,2.1898891925811768,69571,2a36f66286f0,172.28.0.12,2.1898891925811768,5,glove,200,3,0.0001,64,d3b6f_00496
497,0.5887395739555359,1706185409,,False,5,d3b6f_00497,2024-01-25_12-23-29,0.09098100662231445,1.9546599388122559,69652,2a36f66286f0,172.28.0.12,1.9546599388122559,5,glove,200,3,0.0001,128,d3b6f_00497
498,0.3627109012820504,1706185416,,False,5,d3b6f_00498,2024-01-25_12-23-36,0.1697676181793213,2.388573169708252,69729,2a36f66286f0,172.28.0.12,2.388573169708252,5,word2vec,200,3,0.0001,32,d3b6f_00498
499,0.5097231268882751,1706185423,,False,5,d3b6f_00499,2024-01-25_12-23-43,0.11288166046142578,2.0747406482696533,69807,2a36f66286f0,172.28.0.12,2.0747406482696533,5,word2vec,200,3,0.0001,64,d3b6f_00499
500,0.5842162370681763,1706185430,,False,5,d3b6f_00500,2024-01-25_12-23-50,0.08614516258239746,1.9117159843444824,69890,2a36f66286f0,172.28.0.12,1.9117159843444824,5,word2vec,200,3,0.0001,128,d3b6f_00500
501,0.4788146642121402,1706185437,,False,5,d3b6f_00501,2024-01-25_12-23-57,0.17383909225463867,2.3961851596832275,69971,2a36f66286f0,172.28.0.12,2.3961851596832275,5,fasttext,200,3,0.0001,32,d3b6f_00501
502,0.5897636910279592,1706185444,,False,5,d3b6f_00502,2024-01-25_12-24-04,0.10902786254882812,2.057055711746216,70049,2a36f66286f0,172.28.0.12,2.057055711746216,5,fasttext,200,3,0.0001,64,d3b6f_00502
503,0.6582672595977783,1706185450,,False,5,d3b6f_00503,2024-01-25_12-24-10,0.08519768714904785,1.961989402770996,70130,2a36f66286f0,172.28.0.12,1.961989402770996,5,fasttext,200,3,0.0001,128,d3b6f_00503
504,0.7108517939394171,1706185457,,False,5,d3b6f_00504,2024-01-25_12-24-17,0.22119688987731934,2.6607348918914795,70207,2a36f66286f0,172.28.0.12,2.6607348918914795,5,gpt,50,3,1e-05,32,d3b6f_00504
505,0.6278894444306692,1706185464,,False,5,d3b6f_00505,2024-01-25_12-24-24,0.15543246269226074,2.3636746406555176,70287,2a36f66286f0,172.28.0.12,2.3636746406555176,5,gpt,50,3,1e-05,64,d3b6f_00505
506,0.6908228993415833,1706185471,,False,5,d3b6f_00506,2024-01-25_12-24-31,0.12387228012084961,2.141125440597534,70365,2a36f66286f0,172.28.0.12,2.141125440597534,5,gpt,50,3,1e-05,128,d3b6f_00506
507,0.7570481137795881,1706185478,,False,5,d3b6f_00507,2024-01-25_12-24-38,0.17781591415405273,2.4380948543548584,70443,2a36f66286f0,172.28.0.12,2.4380948543548584,5,bert,50,3,1e-05,32,d3b6f_00507
508,0.7104215820630392,1706185484,,False,5,d3b6f_00508,2024-01-25_12-24-44,0.1222531795501709,2.117621421813965,70521,2a36f66286f0,172.28.0.12,2.117621421813965,5,bert,50,3,1e-05,64,d3b6f_00508
509,0.702356735865275,1706185490,,False,5,d3b6f_00509,2024-01-25_12-24-50,0.09073448181152344,1.9742860794067383,70593,2a36f66286f0,172.28.0.12,1.9742860794067383,5,bert,50,3,1e-05,128,d3b6f_00509
510,0.7060180631550875,1706185497,,False,5,d3b6f_00510,2024-01-25_12-24-57,0.1833500862121582,2.448071002960205,70667,2a36f66286f0,172.28.0.12,2.448071002960205,5,tfidf,50,3,1e-05,32,d3b6f_00510
511,0.7122992475827535,1706185504,,False,5,d3b6f_00511,2024-01-25_12-25-04,0.12928533554077148,2.1790339946746826,70745,2a36f66286f0,172.28.0.12,2.1790339946746826,5,tfidf,50,3,1e-05,64,d3b6f_00511
